"filename", "language", "JSON", "YAML", "JSON with Comments", "Markdown", "TypeScript", "Python", "pip requirements", "JavaScript", "TypeScript JSX", "CSS", "Database", "SCSS", "comment", "blank", "total"
"f:\study\blog\social\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"f:\study\blog\social\apps\social\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"f:\study\blog\social\apps\social\app\admin\data\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 7, 40
"f:\study\blog\social\apps\social\app\admin\home\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 16, 7, 58
"f:\study\blog\social\apps\social\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"f:\study\blog\social\apps\social\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"f:\study\blog\social\apps\social\app\admin\post\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 7, 39
"f:\study\blog\social\apps\social\app\auth\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"f:\study\blog\social\apps\social\app\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 6, 9, 115
"f:\study\blog\social\apps\social\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 3, 31
"f:\study\blog\social\apps\social\app\explore\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\explore\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 5, 22
"f:\study\blog\social\apps\social\app\friends\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\friends\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 4, 16
"f:\study\blog\social\apps\social\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 23, 40, 344
"f:\study\blog\social\apps\social\app\home\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\home\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 419, 0, 0, 0, 52, 39, 510
"f:\study\blog\social\apps\social\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"f:\study\blog\social\apps\social\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"f:\study\blog\social\apps\social\app\mbti\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\mbti\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 6, 9, 176
"f:\study\blog\social\apps\social\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"f:\study\blog\social\apps\social\app\notifications\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 5, 22
"f:\study\blog\social\apps\social\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 4, 11
"f:\study\blog\social\apps\social\app\post\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 5, 14, 305
"f:\study\blog\social\apps\social\app\post\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\profile\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 4, 12
"f:\study\blog\social\apps\social\app\profile\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 4, 4, 44
"f:\study\blog\social\apps\social\app\profile\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\blog\social\apps\social\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 4, 12
"f:\study\blog\social\apps\social\biome.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"f:\study\blog\social\apps\social\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"f:\study\blog\social\apps\social\components\ChatEmoji.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 2, 49
"f:\study\blog\social\apps\social\components\PostItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 6, 276
"f:\study\blog\social\apps\social\components\Rich\Render.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 5, 29
"f:\study\blog\social\apps\social\components\Rich\Tiptap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 13, 24, 154
"f:\study\blog\social\apps\social\components\Rich\render.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 1, 12, 75
"f:\study\blog\social\apps\social\components\Rich\tiptap.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 6, 47
"f:\study\blog\social\apps\social\components\chat.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"f:\study\blog\social\apps\social\components\echart\Pie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 11, 15, 199
"f:\study\blog\social\apps\social\components\echart\WordCloudClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 7, 77
"f:\study\blog\social\apps\social\components\echart\word.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 8, 42
"f:\study\blog\social\apps\social\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 8, 67
"f:\study\blog\social\apps\social\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 15, 158
"f:\study\blog\social\apps\social\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 7, 67
"f:\study\blog\social\apps\social\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"f:\study\blog\social\apps\social\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 7, 54
"f:\study\blog\social\apps\social\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
"f:\study\blog\social\apps\social\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 11, 110
"f:\study\blog\social\apps\social\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 60
"f:\study\blog\social\apps\social\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 5, 76
"f:\study\blog\social\apps\social\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 10, 93
"f:\study\blog\social\apps\social\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 28, 242
"f:\study\blog\social\apps\social\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 315, 0, 0, 0, 2, 37, 354
"f:\study\blog\social\apps\social\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
