Date : 2025-03-23 19:52:50
Directory : f:\study\blog\social
Total : 250 files,  25687 codes, 1008 comments, 4104 blanks, all 30799 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        118 |     12,245 |        413 |      1,212 |     13,870 |
| YAML               |          2 |      6,908 |          0 |      1,728 |      8,636 |
| Python             |         88 |      2,231 |        166 |        794 |      3,191 |
| TypeScript         |         19 |      1,819 |        405 |        250 |      2,474 |
| JSON               |         11 |      1,161 |          0 |         10 |      1,171 |
| Database           |          1 |        790 |          0 |         11 |        801 |
| CSS                |          2 |        294 |         23 |         41 |        358 |
| SCSS               |          2 |        103 |          1 |         18 |        122 |
| Markdown           |          3 |         71 |          0 |         36 |        107 |
| JSON with Comments |          2 |         47 |          0 |          2 |         49 |
| pip requirements   |          1 |         14 |          0 |          0 |         14 |
| JavaScript         |          1 |          4 |          0 |          2 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        250 |     25,687 |      1,008 |      4,104 |     30,799 |
| . (Files)                                                                                                          |          7 |      7,075 |          0 |      1,734 |      8,809 |
| apps                                                                                                               |        147 |     15,289 |        827 |      1,527 |     17,643 |
| apps\social                                                                                                        |        147 |     15,289 |        827 |      1,527 |     17,643 |
| apps\social (Files)                                                                                                |          7 |        278 |          3 |         24 |        305 |
| apps\social\app                                                                                                    |         29 |      1,685 |        123 |        205 |      2,013 |
| apps\social\app (Files)                                                                                            |          6 |        405 |         25 |         57 |        487 |
| apps\social\app\admin                                                                                              |          5 |        116 |         20 |         27 |        163 |
| apps\social\app\admin (Files)                                                                                      |          2 |         20 |          0 |          6 |         26 |
| apps\social\app\admin\data                                                                                         |          1 |         31 |          2 |          7 |         40 |
| apps\social\app\admin\home                                                                                         |          1 |         35 |         16 |          7 |         58 |
| apps\social\app\admin\post                                                                                         |          1 |         30 |          2 |          7 |         39 |
| apps\social\app\auth                                                                                               |          2 |        114 |          6 |         12 |        132 |
| apps\social\app\explore                                                                                            |          2 |         29 |          1 |          8 |         38 |
| apps\social\app\friends                                                                                            |          2 |         24 |          1 |          7 |         32 |
| apps\social\app\home                                                                                               |          2 |        432 |         52 |         42 |        526 |
| apps\social\app\mbti                                                                                               |          2 |        174 |          6 |         12 |        192 |
| apps\social\app\notifications                                                                                      |          2 |         29 |          1 |          8 |         38 |
| apps\social\app\post                                                                                               |          2 |        299 |          5 |         17 |        321 |
| apps\social\app\post (Files)                                                                                       |          1 |         13 |          0 |          3 |         16 |
| apps\social\app\post\[id]                                                                                          |          1 |        286 |          5 |         14 |        305 |
| apps\social\app\profile                                                                                            |          4 |         63 |          6 |         15 |         84 |
| apps\social\app\profile (Files)                                                                                    |          2 |         20 |          1 |          7 |         28 |
| apps\social\app\profile\[id]                                                                                       |          1 |          7 |          1 |          4 |         12 |
| apps\social\app\profile\edit                                                                                       |          1 |         36 |          4 |          4 |         44 |
| apps\social\components                                                                                             |         56 |      5,447 |         43 |        598 |      6,088 |
| apps\social\components (Files)                                                                                     |          3 |        330 |          0 |          9 |        339 |
| apps\social\components\Rich                                                                                        |          4 |        242 |         16 |         47 |        305 |
| apps\social\components\echart                                                                                      |          3 |        275 |         13 |         30 |        318 |
| apps\social\components\ui                                                                                          |         46 |      4,600 |         14 |        512 |      5,126 |
| apps\social\container                                                                                              |         36 |      5,433 |        260 |        460 |      6,153 |
| apps\social\container\admin-contanier                                                                              |          9 |      1,919 |         52 |        173 |      2,144 |
| apps\social\container\auth-contanier                                                                               |          3 |        370 |         11 |         37 |        418 |
| apps\social\container\chat-container                                                                               |          6 |        802 |         50 |         77 |        929 |
| apps\social\container\explore-contanier                                                                            |          1 |        166 |          4 |         10 |        180 |
| apps\social\container\friends-container                                                                            |          5 |        318 |          4 |         29 |        351 |
| apps\social\container\home-contanier                                                                               |          4 |        502 |         13 |         26 |        541 |
| apps\social\container\mibt-contanier                                                                               |          1 |        362 |          8 |         36 |        406 |
| apps\social\container\notifications-container                                                                      |          3 |        132 |          6 |         19 |        157 |
| apps\social\container\profile-contanier                                                                            |          4 |        862 |        112 |         53 |      1,027 |
| apps\social\hooks                                                                                                  |          2 |         34 |          5 |         10 |         49 |
| apps\social\http                                                                                                   |         10 |      1,410 |        343 |        184 |      1,937 |
| apps\social\lib                                                                                                    |          3 |        191 |         28 |         25 |        244 |
| apps\social\provider                                                                                               |          2 |         78 |         11 |          9 |         98 |
| apps\social\public                                                                                                 |          1 |        655 |          0 |          1 |        656 |
| apps\social\store                                                                                                  |          1 |         78 |         11 |         11 |        100 |
| server                                                                                                             |         96 |      3,323 |        181 |        843 |      4,347 |
| server\socket                                                                                                      |          3 |        164 |         15 |         16 |        195 |
| server\socket (Files)                                                                                              |          2 |         94 |          0 |          2 |         96 |
| server\socket\src                                                                                                  |          1 |         70 |         15 |         14 |         99 |
| server\wey_backend                                                                                                 |         93 |      3,159 |        166 |        827 |      4,152 |
| server\wey_backend (Files)                                                                                         |          5 |        905 |          1 |         18 |        924 |
| server\wey_backend\account                                                                                         |         20 |        712 |         35 |        215 |        962 |
| server\wey_backend\account (Files)                                                                                 |         11 |        564 |         28 |        167 |        759 |
| server\wey_backend\account\migrations                                                                              |          9 |        148 |          7 |         48 |        203 |
| server\wey_backend\chat                                                                                            |         12 |        143 |          5 |         69 |        217 |
| server\wey_backend\chat (Files)                                                                                    |          9 |         95 |          3 |         55 |        153 |
| server\wey_backend\chat\migrations                                                                                 |          3 |         48 |          2 |         14 |         64 |
| server\wey_backend\notification                                                                                    |         13 |        134 |          6 |         52 |        192 |
| server\wey_backend\notification (Files)                                                                            |         10 |         97 |          4 |         38 |        139 |
| server\wey_backend\notification\migrations                                                                         |          3 |         37 |          2 |         14 |         53 |
| server\wey_backend\post                                                                                            |         24 |        773 |         61 |        277 |      1,111 |
| server\wey_backend\post (Files)                                                                                    |         11 |        550 |         49 |        203 |        802 |
| server\wey_backend\post\migrations                                                                                 |         13 |        223 |         12 |         74 |        309 |
| server\wey_backend\scripts                                                                                         |          4 |        140 |         14 |         59 |        213 |
| server\wey_backend\search                                                                                          |          9 |         76 |         11 |         40 |        127 |
| server\wey_backend\search (Files)                                                                                  |          8 |         76 |         11 |         39 |        126 |
| server\wey_backend\search\migrations                                                                               |          1 |          0 |          0 |          1 |          1 |
| server\wey_backend\wey_backend                                                                                     |          6 |        276 |         33 |         97 |        406 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                           | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\study\blog\social\README.md                                                                                     | Markdown           |          7 |          0 |          2 |          9 |
| f:\study\blog\social\apps\social\README.md                                                                         | Markdown           |         23 |          0 |         14 |         37 |
| f:\study\blog\social\apps\social\app\admin\data\page.tsx                                                           | TypeScript JSX     |         31 |          2 |          7 |         40 |
| f:\study\blog\social\apps\social\app\admin\home\page.tsx                                                           | TypeScript JSX     |         35 |         16 |          7 |         58 |
| f:\study\blog\social\apps\social\app\admin\layout.tsx                                                              | TypeScript JSX     |         15 |          0 |          3 |         18 |
| f:\study\blog\social\apps\social\app\admin\page.tsx                                                                | TypeScript JSX     |          5 |          0 |          3 |          8 |
| f:\study\blog\social\apps\social\app\admin\post\page.tsx                                                           | TypeScript JSX     |         30 |          2 |          7 |         39 |
| f:\study\blog\social\apps\social\app\auth\layout.tsx                                                               | TypeScript JSX     |         14 |          0 |          3 |         17 |
| f:\study\blog\social\apps\social\app\auth\page.tsx                                                                 | TypeScript JSX     |        100 |          6 |          9 |        115 |
| f:\study\blog\social\apps\social\app\error.tsx                                                                     | TypeScript JSX     |         27 |          1 |          3 |         31 |
| f:\study\blog\social\apps\social\app\explore\layout.tsx                                                            | TypeScript JSX     |         13 |          0 |          3 |         16 |
| f:\study\blog\social\apps\social\app\explore\page.tsx                                                              | TypeScript JSX     |         16 |          1 |          5 |         22 |
| f:\study\blog\social\apps\social\app\friends\layout.tsx                                                            | TypeScript JSX     |         13 |          0 |          3 |         16 |
| f:\study\blog\social\apps\social\app\friends\page.tsx                                                              | TypeScript JSX     |         11 |          1 |          4 |         16 |
| f:\study\blog\social\apps\social\app\globals.css                                                                   | CSS                |        281 |         23 |         40 |        344 |
| f:\study\blog\social\apps\social\app\home\layout.tsx                                                               | TypeScript JSX     |         13 |          0 |          3 |         16 |
| f:\study\blog\social\apps\social\app\home\page.tsx                                                                 | TypeScript JSX     |        419 |         52 |         39 |        510 |
| f:\study\blog\social\apps\social\app\layout.tsx                                                                    | TypeScript JSX     |         37 |          0 |          5 |         42 |
| f:\study\blog\social\apps\social\app\loading.tsx                                                                   | TypeScript JSX     |         30 |          0 |          2 |         32 |
| f:\study\blog\social\apps\social\app\mbti\layout.tsx                                                               | TypeScript JSX     |         13 |          0 |          3 |         16 |
| f:\study\blog\social\apps\social\app\mbti\page.tsx                                                                 | TypeScript JSX     |        161 |          6 |          9 |        176 |
| f:\study\blog\social\apps\social\app\not-found.tsx                                                                 | TypeScript JSX     |         24 |          0 |          3 |         27 |
| f:\study\blog\social\apps\social\app\notifications\layout.tsx                                                      | TypeScript JSX     |         13 |          0 |          3 |         16 |
| f:\study\blog\social\apps\social\app\notifications\page.tsx                                                        | TypeScript JSX     |         16 |          1 |          5 |         22 |
| f:\study\blog\social\apps\social\app\page.tsx                                                                      | TypeScript JSX     |          6 |          1 |          4 |         11 |
| f:\study\blog\social\apps\social\app\post\[id]\page.tsx                                                            | TypeScript JSX     |        286 |          5 |         14 |        305 |
| f:\study\blog\social\apps\social\app\post\layout.tsx                                                               | TypeScript JSX     |         13 |          0 |          3 |         16 |
| f:\study\blog\social\apps\social\app\profile\[id]\page.tsx                                                         | TypeScript JSX     |          7 |          1 |          4 |         12 |
| f:\study\blog\social\apps\social\app\profile\edit\page.tsx                                                         | TypeScript JSX     |         36 |          4 |          4 |         44 |
| f:\study\blog\social\apps\social\app\profile\layout.tsx                                                            | TypeScript JSX     |         13 |          0 |          3 |         16 |
| f:\study\blog\social\apps\social\app\profile\page.tsx                                                              | TypeScript JSX     |          7 |          1 |          4 |         12 |
| f:\study\blog\social\apps\social\biome.json                                                                        | JSON               |         71 |          0 |          1 |         72 |
| f:\study\blog\social\apps\social\components.json                                                                   | JSON               |         21 |          0 |          0 |         21 |
| f:\study\blog\social\apps\social\components\ChatEmoji.tsx                                                          | TypeScript JSX     |         47 |          0 |          2 |         49 |
| f:\study\blog\social\apps\social\components\PostItem.tsx                                                           | TypeScript JSX     |        270 |          0 |          6 |        276 |
| f:\study\blog\social\apps\social\components\Rich\Render.tsx                                                        | TypeScript JSX     |         22 |          2 |          5 |         29 |
| f:\study\blog\social\apps\social\components\Rich\Tiptap.tsx                                                        | TypeScript JSX     |        117 |         13 |         24 |        154 |
| f:\study\blog\social\apps\social\components\Rich\render.module.scss                                                | SCSS               |         62 |          1 |         12 |         75 |
| f:\study\blog\social\apps\social\components\Rich\tiptap.module.scss                                                | SCSS               |         41 |          0 |          6 |         47 |
| f:\study\blog\social\apps\social\components\chat.module.css                                                        | CSS                |         13 |          0 |          1 |         14 |
| f:\study\blog\social\apps\social\components\echart\Pie.tsx                                                         | TypeScript JSX     |        173 |         11 |         15 |        199 |
| f:\study\blog\social\apps\social\components\echart\WordCloudClient.tsx                                             | TypeScript JSX     |         70 |          0 |          7 |         77 |
| f:\study\blog\social\apps\social\components\echart\word.tsx                                                        | TypeScript JSX     |         32 |          2 |          8 |         42 |
| f:\study\blog\social\apps\social\components\ui\accordion.tsx                                                       | TypeScript JSX     |         59 |          0 |          8 |         67 |
| f:\study\blog\social\apps\social\components\ui\alert-dialog.tsx                                                    | TypeScript JSX     |        143 |          0 |         15 |        158 |
